"org_admin","sex","agegr","none","native","retention","Sx","px","qx","lx","dx","Lx","Tx","ex","year"
"Chungbuk","Total","60-64",58246,49091,0.457353941324986,0.523960518907823,0.999999,1e-06,0.360383315298809,3.60383315298809e-07,1.80191567553576,10.3657077268624,28.7630067398314,2000
"Chungbuk","Total","65-69",39816,38867,0.493969472440044,0.565908539794122,0.999999,1e-06,0.360382954915494,3.60382954915494e-07,1.80191387362008,8.56379205132668,23.7630330028644,2000
"Chungbuk","Total","70-74",26359,28323,0.517958377528254,0.593391060490533,0.999999,1e-06,0.360382594532539,3.60382594532539e-07,1.80191207170621,6.7618781777066,18.7630542659187,2000
"Chungbuk","Total","75-79",14804,19350,0.566551502020261,0.649061027279105,0.920287692243917,0.0797123077560834,0.360382234149945,0.0287268995583853,1.73009392185376,4.95996610600039,13.7630705289892,2000
"Chungbuk","Total","80-84",8234,8970,0.521390374331551,0.597322874920153,0.965152432868968,0.0348475671310315,0.331655334591559,0.0115573815365441,1.62938321911644,3.22987218414663,9.73864083363618,2000
"Chungbuk","Total","85+",4858,4921,0.503221188260558,0.576507625937473,0.999999,1e-06,0.320097953055015,3.20097953055015e-07,1.60048896503019,1.60048896503019,4.9999975,2000
"Chungnam","Female","0-4",8116,48391,0.856371776947989,1,0.911968048944544,0.0880319510554556,1,0.0880319510554556,4.77992012236136,33.7435964242327,33.7435964242327,2000
"Chungnam","Female","5-9",10923,38950,0.78098369859443,0.911968048944544,0.948307581028016,0.0516924189719836,0.911968048944544,0.0471418344751039,4.44198565853496,28.9636763018714,31.7595296626808,2000
"Chungnam","Female","10-14",13512,38580,0.740612762036397,0.86482621446944,0.856817289561125,0.143182710438875,0.86482621446944,0.123828161446326,4.01456066873139,24.5216906433364,28.354471954091,2000
"Chungnam","Female","15-19",28224,49011,0.634569819382404,0.740998053023114,0.616559591778558,0.383440408221442,0.740998053023114,0.284128595942477,2.99466877525938,20.507129974605,27.6750119530548,2000
"Chungnam","Female","20-24",62949,40458,0.391250108793409,0.456869457080638,0.709537170689288,0.290462829310712,0.456869457080638,0.132703595129291,1.95258829757996,17.5124611993456,38.3314334717164,2000
"Chungnam","Female","25-29",100987,38808,0.277606495225151,0.324165861951347,0.802057865652021,0.197942134347979,0.324165861951347,0.0641660825974017,1.46041410326323,15.5598729017657,47.9997270782974,2000
"Chungnam","Female","30-34",122521,35094,0.222656473051423,0.259999779353945,0.913445658623241,0.0865543413767589,0.259999779353945,0.0225041096600833,1.24373862261952,14.0994587985024,54.2287337071485,2000
"Chungnam","Female","35-39",146821,37485,0.203384588673185,0.237495669693862,0.999999,1e-06,0.237495669693862,2.37495669693862e-07,1.18747775473013,12.8557201758829,54.130335060232,2000
"Chungnam","Female","40-44",145852,42257,0.224641032592805,0.262317183540775,0.999999,1e-06,0.237495432198192,2.37495432198192e-07,1.18747656725238,11.6682424211528,49.1303866906187,2000
"Chungnam","Female","45-49",109970,36483,0.249110636176794,0.290890758993244,0.999999,1e-06,0.23749519470276,2.3749519470276e-07,1.18747537977581,10.4807658539004,44.1304333210521,2000
"Chungnam","Female","50-54",85736,33446,0.280629625278985,0.327696022724052,0.999999,1e-06,0.237494957207565,2.37494957207565e-07,1.18747419230043,9.2932904741246,39.130474951527,2000
"Chungnam","Female","55-59",62672,38037,0.377692162567397,0.441037610923434,0.999999,1e-06,0.237494719712608,2.37494719712608e-07,1.18747300482624,8.10581628182417,34.1305115820386,2000
"Chungnam","Female","60-64",53447,42294,0.441754316332606,0.515844085739219,0.999999,1e-06,0.237494482217888,2.37494482217888e-07,1.18747181735323,6.91834327699793,29.1305432125818,2000
"Chungnam","Female","65-69",39616,40153,0.503365969236169,0.587789068703441,0.999999,1e-06,0.237494244723406,2.37494244723406e-07,1.18747062988142,5.73087145964469,24.1305698431517,2000
"Chungnam","Female","70-74",28747,29328,0.505002152389152,0.589699667811242,0.96398464628209,0.0360153537179099,0.237494007229161,0.00855343067624208,1.1660864594552,4.54340082976328,19.1305914737431,2000
"Chungnam","Female","75-79",21873,20749,0.486814321242551,0.568461425687686,0.980154838475826,0.0198451615241745,0.228940576552919,0.00454336272113031,1.13334447596177,3.37731437030808,14.7519256794019,2000
"Chungnam","Female","80-84",10756,9816,0.477153412405211,0.557180216874651,0.999999,1e-06,0.224397213831789,2.24397213831789e-07,1.12198550816591,2.24396989434631,9.9999900000025,2000
"Chungnam","Female","85+",7149,7033,0.495910308842194,0.579082966290134,0.999999,1e-06,0.224396989434575,2.24396989434575e-07,1.1219843861804,1.1219843861804,4.9999975,2000
"Chungnam","Male","0-4",6915,50655,0.879885356956748,1,0.904339178361148,0.0956608216388523,1,0.0956608216388523,4.76084794590287,38.2572980962989,38.2572980962989,2000
"Chungnam","Male","5-9",11899,46348,0.795714800762271,0.904339178361148,0.930077000578758,0.0699229994212421,0.904339178361148,0.0632341078451531,4.36361062219286,33.496450150396,37.0396981043093,2000
"Chungnam","Male","10-14",15178,43216,0.740076035209097,0.841105070515995,0.871172041100429,0.128827958899571,0.841105070515995,0.108357849454655,3.93463072894334,29.1328395282031,34.6363855711046,2000
"Chungnam","Male","15-19",28400,51540,0.644733550162622,0.73274722106134,0.726860611333178,0.273139388666822,0.73274722106134,0.200142128008007,3.16338078528668,25.1982087992598,34.3886787625912,2000
"Chungnam","Male","20-24",41451,36557,0.468631422418214,0.532605093053332,0.766656335697018,0.233343664302982,0.532605093053332,0.124280024039495,2.35232540516792,22.0348280139731,41.3717936635778,2000
"Chungnam","Male","25-29",84167,47196,0.359279249103629,0.408325069013837,0.826646634220577,0.173353365779423,0.408325069013837,0.0707845250456639,1.86466403245503,19.6825026088052,48.2030227934357,2000
